RP23-100C5.1	ETG51792	Ptpra	Ppp2r1a	Rptpalpha|Ptpa|PTPalpha|RPTRalpha|Rptra	6330556D22Rik|PP2A|PR65	Affinity Capture-Western	Fellner T (2003)	12952889	10090	10090
ETG18627	RP23-455G15.2	Per2	Per3	mPer2|mKIAA0347	mPer3|2810049O06Rik	Affinity Capture-Western	Lee C (2004)	14701732	10090	10090
ETG18627	ETG12952	Per2	Cry1	mPer2|mKIAA0347	AU020726|AU021000|Phll1	Affinity Capture-Western	Lee C (2004)	14701732	10090	10090
ETG18627	RP23-316M14.8	Per2	Cry2	mPer2|mKIAA0347	AV006279|D130054K12Rik	Affinity Capture-Western	Lee C (2004)	14701732	10090	10090
ETG12952	ETG12753	Cry1	Clock	AU020726|AU021000|Phll1	bHLHe8|mKIAA0334|5330400M04Rik|KAT13D	Affinity Capture-Western	Lee C (2004)	14701732	10090	10090
ETG12952	RP23-26L6.6	Cry1	Per1	AU020726|AU021000|Phll1	m-rigui|mPer1|Per	Affinity Capture-Western	Lee C (2004)	14701732	10090	10090
ETG12952	ETG18627	Cry1	Per2	AU020726|AU021000|Phll1	mPer2|mKIAA0347	Affinity Capture-Western	Lee C (2004)	14701732	10090	10090
ETG12952	RP23-455G15.2	Cry1	Per3	AU020726|AU021000|Phll1	mPer3|2810049O06Rik	Affinity Capture-Western	Lee C (2004)	14701732	10090	10090
ETG12952	RP23-316M14.8	Cry1	Cry2	AU020726|AU021000|Phll1	AV006279|D130054K12Rik	Affinity Capture-Western	Lee C (2004)	14701732	10090	10090
RP23-316M14.8	ETG12753	Cry2	Clock	AV006279|D130054K12Rik	bHLHe8|mKIAA0334|5330400M04Rik|KAT13D	Affinity Capture-Western	Lee C (2004)	14701732	10090	10090
RP23-316M14.8	RP23-26L6.6	Cry2	Per1	AV006279|D130054K12Rik	m-rigui|mPer1|Per	Affinity Capture-Western	Lee C (2004)	14701732	10090	10090
RP23-316M14.8	ETG18627	Cry2	Per2	AV006279|D130054K12Rik	mPer2|mKIAA0347	Affinity Capture-Western	Lee C (2004)	14701732	10090	10090
RP23-316M14.8	RP23-455G15.2	Cry2	Per3	AV006279|D130054K12Rik	mPer3|2810049O06Rik	Affinity Capture-Western	Lee C (2004)	14701732	10090	10090
RP23-316M14.8	ETG12952	Cry2	Cry1	AV006279|D130054K12Rik	AU020726|AU021000|Phll1	Affinity Capture-Western	Lee C (2004)	14701732	10090	10090
RP23-282A22.2	RP23-341B14.1	Prpf40a	Wasf2	Fnbp11|FBP11|2810012K09Rik|Fnbp3	AW742646|WAVE2|D4Ertd13e	Reconstituted Complex	Mizutani K (2004)	14697212	10090	10090
RP23-282A22.2	ETG245880	Prpf40a	Wasf3	Fnbp11|FBP11|2810012K09Rik|Fnbp3	Scar3|Wave3	Reconstituted Complex	Mizutani K (2004)	14697212	10090	10090
RP23-282A22.2	ETG73178	Prpf40a	Wasl	Fnbp11|FBP11|2810012K09Rik|Fnbp3	3110031I02Rik|2900021I12Rik|N-WASP	Reconstituted Complex	Mizutani K (2004)	14697212	10090	10090
RP23-282A22.2	ETG83767	Prpf40a	Wasf1	Fnbp11|FBP11|2810012K09Rik|Fnbp3	AI838537|WAVE-1|WAVE|AI195380|Scar	Reconstituted Complex	Mizutani K (2004)	14697212	10090	10090
ETG24069	ETG319191	Sufu	Hist1h2ai	2810026F04Rik|Su(Fu)	H2a-291A	Two-hybrid	Paces-Fessy M (2004)	14611647	10090	10090
ETG24069	RP23-120P1.1	Sufu	Ncoa3	2810026F04Rik|Su(Fu)	2010305B15Rik|TRAM-1|Src3|p/CIP|AW321064|TRAM1|AIB1|ACTR|KAT13B|pCip|bHLHe42|RAC3	Two-hybrid	Paces-Fessy M (2004)	14611647	10090	10090
ETG24069	ETG84505	Sufu	Setdb1	2810026F04Rik|Su(Fu)	ESET|KMT1E|AU022152|mKIAA0067	Two-hybrid	Paces-Fessy M (2004)	14611647	10090	10090
ETG24069	ETG69890	Sufu	Zfp219	2810026F04Rik|Su(Fu)	2010302A17Rik	Two-hybrid	Paces-Fessy M (2004)	14611647	10090	10090
ETG24069	ETG16854	Sufu	Lgals3	2810026F04Rik|Su(Fu)	L-34|Mac-2|gal3|GBP	Two-hybrid	Paces-Fessy M (2004)	14611647	10090	10090
ETG24069	ETG20220	Sufu	Sap18	2810026F04Rik|Su(Fu)	EMegR4|Sinbp1|C530046K05Rik|D11Ertd539e	Two-hybrid	Paces-Fessy M (2004)	14611647	10090	10090
ETG24069	ETG56469	Sufu	Pias1	2810026F04Rik|Su(Fu)	2900068C24Rik|GBP|Ddxbp1	Two-hybrid	Paces-Fessy M (2004)	14611647	10090	10090
ETG24069	ETG30945	Sufu	Rnf19a	2810026F04Rik|Su(Fu)	Dorfin|Rnf19|XYbp|Ubce7ip2|AA032313|UIP117	Two-hybrid	Paces-Fessy M (2004)	14611647	10090	10090
ETG24069	ETG19664	Sufu	Rbpj	2810026F04Rik|Su(Fu)	Igkrsbp|RBP-J|AI843960|Igkjrb|RBPjk|CBF1|Rbpsuh	Two-hybrid	Paces-Fessy M (2004)	14611647	10090	10090
ETG24069	ETG54683	Sufu	Prdx5	2810026F04Rik|Su(Fu)	AOEB166|AOPP|Prdx6|Pmp20|PrxV	Two-hybrid	Paces-Fessy M (2004)	14611647	10090	10090
ETG16854	ETG24069	Lgals3	Sufu	L-34|Mac-2|gal3|GBP	2810026F04Rik|Su(Fu)	Two-hybrid	Paces-Fessy M (2004)	14611647	10090	10090
ETG16854	ETG16854	Lgals3	Lgals3	L-34|Mac-2|gal3|GBP	L-34|Mac-2|gal3|GBP	Two-hybrid	Paces-Fessy M (2004)	14611647	10090	10090
RP23-120P1.1	ETG30945	Ncoa3	Rnf19a	2010305B15Rik|TRAM-1|Src3|p/CIP|AW321064|TRAM1|AIB1|ACTR|KAT13B|pCip|bHLHe42|RAC3	Dorfin|Rnf19|XYbp|Ubce7ip2|AA032313|UIP117	Two-hybrid	Paces-Fessy M (2004)	14611647	10090	10090
RP23-120P1.1	ETG84505	Ncoa3	Setdb1	2010305B15Rik|TRAM-1|Src3|p/CIP|AW321064|TRAM1|AIB1|ACTR|KAT13B|pCip|bHLHe42|RAC3	ESET|KMT1E|AU022152|mKIAA0067	Two-hybrid	Paces-Fessy M (2004)	14611647	10090	10090
RP23-120P1.1	ETG69890	Ncoa3	Zfp219	2010305B15Rik|TRAM-1|Src3|p/CIP|AW321064|TRAM1|AIB1|ACTR|KAT13B|pCip|bHLHe42|RAC3	2010302A17Rik	Two-hybrid	Paces-Fessy M (2004)	14611647	10090	10090
RP23-120P1.1	ETG16854	Ncoa3	Lgals3	2010305B15Rik|TRAM-1|Src3|p/CIP|AW321064|TRAM1|AIB1|ACTR|KAT13B|pCip|bHLHe42|RAC3	L-34|Mac-2|gal3|GBP	Two-hybrid	Paces-Fessy M (2004)	14611647	10090	10090
RP23-120P1.1	ETG20220	Ncoa3	Sap18	2010305B15Rik|TRAM-1|Src3|p/CIP|AW321064|TRAM1|AIB1|ACTR|KAT13B|pCip|bHLHe42|RAC3	EMegR4|Sinbp1|C530046K05Rik|D11Ertd539e	Two-hybrid	Paces-Fessy M (2004)	14611647	10090	10090
RP23-120P1.1	RP23-120P1.1	Ncoa3	Ncoa3	2010305B15Rik|TRAM-1|Src3|p/CIP|AW321064|TRAM1|AIB1|ACTR|KAT13B|pCip|bHLHe42|RAC3	2010305B15Rik|TRAM-1|Src3|p/CIP|AW321064|TRAM1|AIB1|ACTR|KAT13B|pCip|bHLHe42|RAC3	Two-hybrid	Paces-Fessy M (2004)	14611647	10090	10090
RP23-120P1.1	ETG54683	Ncoa3	Prdx5	2010305B15Rik|TRAM-1|Src3|p/CIP|AW321064|TRAM1|AIB1|ACTR|KAT13B|pCip|bHLHe42|RAC3	AOEB166|AOPP|Prdx6|Pmp20|PrxV	Two-hybrid	Paces-Fessy M (2004)	14611647	10090	10090
RP23-120P1.1	ETG56469	Ncoa3	Pias1	2010305B15Rik|TRAM-1|Src3|p/CIP|AW321064|TRAM1|AIB1|ACTR|KAT13B|pCip|bHLHe42|RAC3	2900068C24Rik|GBP|Ddxbp1	Two-hybrid	Paces-Fessy M (2004)	14611647	10090	10090
ETG30945	ETG24069	Rnf19a	Sufu	Dorfin|Rnf19|XYbp|Ubce7ip2|AA032313|UIP117	2810026F04Rik|Su(Fu)	Two-hybrid	Paces-Fessy M (2004)	14611647	10090	10090
ETG30945	ETG56469	Rnf19a	Pias1	Dorfin|Rnf19|XYbp|Ubce7ip2|AA032313|UIP117	2900068C24Rik|GBP|Ddxbp1	Two-hybrid	Paces-Fessy M (2004)	14611647	10090	10090
ETG69890	ETG69890	Zfp219	Zfp219	2010302A17Rik	2010302A17Rik	Two-hybrid	Paces-Fessy M (2004)	14611647	10090	10090
ETG69890	ETG319191	Zfp219	Hist1h2ai	2010302A17Rik	H2a-291A	Two-hybrid	Paces-Fessy M (2004)	14611647	10090	10090
ETG56469	ETG84505	Pias1	Setdb1	2900068C24Rik|GBP|Ddxbp1	ESET|KMT1E|AU022152|mKIAA0067	Two-hybrid	Paces-Fessy M (2004)	14611647	10090	10090
ETG56469	ETG69890	Pias1	Zfp219	2900068C24Rik|GBP|Ddxbp1	2010302A17Rik	Two-hybrid	Paces-Fessy M (2004)	14611647	10090	10090
ETG56469	ETG16854	Pias1	Lgals3	2900068C24Rik|GBP|Ddxbp1	L-34|Mac-2|gal3|GBP	Two-hybrid	Paces-Fessy M (2004)	14611647	10090	10090
ETG56469	ETG20220	Pias1	Sap18	2900068C24Rik|GBP|Ddxbp1	EMegR4|Sinbp1|C530046K05Rik|D11Ertd539e	Two-hybrid	Paces-Fessy M (2004)	14611647	10090	10090
ETG56469	RP23-120P1.1	Pias1	Ncoa3	2900068C24Rik|GBP|Ddxbp1	2010305B15Rik|TRAM-1|Src3|p/CIP|AW321064|TRAM1|AIB1|ACTR|KAT13B|pCip|bHLHe42|RAC3	Two-hybrid	Paces-Fessy M (2004)	14611647	10090	10090
ETG20220	ETG24069	Sap18	Sufu	EMegR4|Sinbp1|C530046K05Rik|D11Ertd539e	2810026F04Rik|Su(Fu)	Two-hybrid	Paces-Fessy M (2004)	14611647	10090	10090
ETG20220	ETG319191	Sap18	Hist1h2ai	EMegR4|Sinbp1|C530046K05Rik|D11Ertd539e	H2a-291A	Two-hybrid	Paces-Fessy M (2004)	14611647	10090	10090
ETG20220	ETG56469	Sap18	Pias1	EMegR4|Sinbp1|C530046K05Rik|D11Ertd539e	2900068C24Rik|GBP|Ddxbp1	Two-hybrid	Paces-Fessy M (2004)	14611647	10090	10090
ETG24069	ETG16854	Sufu	Lgals3	2810026F04Rik|Su(Fu)	L-34|Mac-2|gal3|GBP	Reconstituted Complex	Paces-Fessy M (2004)	14611647	10090	10090
ETG17202	ETG226255	Mc4r	Atrnl1	Fatboy|Glu3	Atrnl|AW555641|AI504415|Atrnlp|Alp	Reconstituted Complex	Haqq AM (2003)	14531729	10090	10090
ETG22177	ETG57781	Tyrobp	Cd200r1	DAP12|Ly83|KARAP	CD200R|Mox2r|OX2R	Reconstituted Complex	Wright GJ (2003)	12960329	10090	10090
ETG110637	ETG14806	Grik4	Grik2	KA1|GluK4|GluRgamma1|6330551K01Rik|KA-1	AW124492|Glur6|Glurbeta2|Glur-6	Affinity Capture-Western	Darstein M (2003)	12954862	10090	10090
ETG110637	RP23-273I17.1	Grik4	Grik3	KA1|GluK4|GluRgamma1|6330551K01Rik|KA-1	GluR7-3|Glur-7|Glur7|9630027E11	Affinity Capture-Western	Darstein M (2003)	12954862	10090	10090
ETG15166	ETG15165	Hcn2	Hcn1	BCNG2|HAC1	HAC2|C630013B14Rik|Bcng1	Affinity Capture-Western	Much B (2003)	12928435	10090	10090
ETG23885	ETG22088	Gmcl1	Tsg101	mglc-1|Gcl|2810049L19Rik	CC2|AI255943	Two-hybrid	Masuhara M (2003)	12927808	10090	10090
ETG23885	ETG22088	Gmcl1	Tsg101	mglc-1|Gcl|2810049L19Rik	CC2|AI255943	Affinity Capture-Western	Masuhara M (2003)	12927808	10090	10090
ETG23885	ETG22088	Gmcl1	Tsg101	mglc-1|Gcl|2810049L19Rik	CC2|AI255943	Reconstituted Complex	Masuhara M (2003)	12927808	10090	10090
RP23-139B4.4	ETG13043	Fgd1	Cttn	ZFYVE3	Ems1|1110020L01Rik	Two-hybrid	Hou P (2003)	12913069	10090	10090
RP23-139B4.4	ETG76507	Fgd1	Abp1	ZFYVE3	1600012D06Rik|DAO	Two-hybrid	Hou P (2003)	12913069	10090	10090
RP23-139B4.4	ETG76507	Fgd1	Abp1	ZFYVE3	1600012D06Rik|DAO	Reconstituted Complex	Hou P (2003)	12913069	10090	10090
RP23-139B4.4	ETG76507	Fgd1	Abp1	ZFYVE3	1600012D06Rik|DAO	Affinity Capture-Western	Hou P (2003)	12913069	10090	10090
RP23-139B4.4	ETG13043	Fgd1	Cttn	ZFYVE3	Ems1|1110020L01Rik	Affinity Capture-Western	Hou P (2003)	12913069	10090	10090
RP23-252M19.3	ETG74838	Naa10	Naa15	2310039H09Rik|Ard1|Te2|Ard1a	ASTBDN|Narg1|mNAT1|5730450D16Rik|Tbdn-1|6330400I15	Reconstituted Complex	Sugiura N (2003)	12888564	10090	10090
ETG78891	ETG98376	Scyl1	Gorab	p105|mdf|2810011O19Rik|C85140|Ntkl|mfd	NTKL-BP1|Scyl1bp1|AI467484	Two-hybrid	Di Y (2003)	12783284	10090	10090
ETG78891	ETG98376	Scyl1	Gorab	p105|mdf|2810011O19Rik|C85140|Ntkl|mfd	NTKL-BP1|Scyl1bp1|AI467484	Affinity Capture-Western	Di Y (2003)	12783284	10090	10090
ETG98376	ETG78891	Gorab	Scyl1	NTKL-BP1|Scyl1bp1|AI467484	p105|mdf|2810011O19Rik|C85140|Ntkl|mfd	Affinity Capture-Western	Di Y (2003)	12783284	10090	10090
RP23-26L6.6	RP23-316M14.8	Per1	Cry2	m-rigui|mPer1|Per	AV006279|D130054K12Rik	Phenotypic Enhancement	Oster H (2003)	12782655	10090	10090
RP23-76K9.1	RP23-76K9.1	Col8a1	Col8a1	Col8a-1	Col8a-1	Co-crystal Structure	Kvansakul M (2003)	12782141	10090	10090
RP23-440D4.1	RP23-451N14.1	Mllt3	Bcor	3830408D16Rik|D4Ertd321e|Af9|2610012I03Rik|2210011H10Rik	mKIAA1575|BcorR|8430401K06Rik|5830466J11Rik|D930024N20Rik	Two-hybrid	Srinivasan RS (2003)	12776190	10090	10090
RP23-408D7.2	RP23-272D10.5	Ror1	Maged1	2810404D04Rik|Ntrkr1|mRor1	mFLJ00163|Dlixin|DXBwg1492e|NRAGE|Dlxin1|Dlxin-1|2810433C11Rik|5430405L04Rik	Two-hybrid	Matsuda T (2003)	12754255	10090	10090
ETG26564	RP23-272D10.5	Ror2	Maged1	mRor2|Ntrkr2	mFLJ00163|Dlixin|DXBwg1492e|NRAGE|Dlxin1|Dlxin-1|2810433C11Rik|5430405L04Rik	Two-hybrid	Matsuda T (2003)	12754255	10090	10090
ETG15505	ETG22142	Hsph1	Tuba1a	105kDa|Hsp105|AI790491|hsp-E7I|HSP110	Tuba-1|Tuba1	Two-hybrid	Saito Y (2003)	12749852	10090	10090
